Date,Price
11/03/2023,14.91
11/02/2023,15.66
11/01/2023,16.87
10/31/2023,18.14
10/30/2023,19.75
10/27/2023,21.27
10/26/2023,20.68
10/25/2023,20.19
10/24/2023,18.97
10/23/2023,20.37
10/20/2023,21.71
10/19/2023,21.4
10/18/2023,19.22
10/17/2023,17.88
10/16/2023,17.21
10/13/2023,19.32
10/12/2023,16.69
10/11/2023,16.09
10/10/2023,17.03
10/09/2023,17.7
10/06/2023,17.45
10/05/2023,18.49
10/04/2023,18.58
10/03/2023,19.78
10/02/2023,17.61
09/29/2023,17.52
09/28/2023,17.34
09/27/2023,18.22
09/26/2023,18.94
09/25/2023,16.9
09/22/2023,17.2
09/21/2023,17.54
09/20/2023,15.14
09/19/2023,14.11
09/18/2023,14.0
09/15/2023,13.79
09/14/2023,12.82
09/13/2023,13.48
09/12/2023,14.23
09/11/2023,13.8
09/08/2023,13.84
09/07/2023,14.4
09/06/2023,14.45
09/05/2023,14.01
09/01/2023,13.09
08/31/2023,13.57
08/30/2023,13.88
08/29/2023,14.45
08/28/2023,15.08
08/25/2023,15.68
08/24/2023,17.2
08/23/2023,15.98
08/22/2023,16.97
08/21/2023,17.13
08/18/2023,17.3
08/17/2023,17.89
08/16/2023,16.78
08/15/2023,16.46
08/14/2023,14.82
08/11/2023,14.84
08/10/2023,15.85
08/09/2023,15.96
08/08/2023,15.99
08/07/2023,15.77
08/04/2023,17.1
08/03/2023,15.92
08/02/2023,16.09
08/01/2023,13.93
07/31/2023,13.63
07/28/2023,13.33
07/27/2023,14.41
07/26/2023,13.19
07/25/2023,13.86
07/24/2023,13.91
07/21/2023,13.6
07/20/2023,13.99
07/19/2023,13.76
07/18/2023,13.3
07/17/2023,13.48
07/14/2023,13.34
07/13/2023,13.61
07/12/2023,13.54
07/11/2023,14.84
07/10/2023,15.07
07/07/2023,14.83
07/06/2023,15.44
07/05/2023,14.18
07/04/2023,13.57
07/03/2023,13.57
06/30/2023,13.59
06/29/2023,13.54
06/28/2023,13.43
06/27/2023,13.74
06/26/2023,14.25
06/23/2023,13.44
06/22/2023,12.91
06/21/2023,13.2
06/20/2023,13.88
06/19/2023,13.54
06/16/2023,13.54
06/15/2023,14.5
06/14/2023,13.88
06/13/2023,14.61
06/12/2023,15.01
06/09/2023,13.83
06/08/2023,13.65
06/07/2023,13.94
06/06/2023,13.96
06/05/2023,14.73
06/02/2023,14.6
06/01/2023,15.65
05/31/2023,17.94
05/30/2023,17.46
05/29/2023,17.95
05/26/2023,17.95
05/25/2023,19.14
05/24/2023,20.03
05/23/2023,18.53
05/22/2023,17.21
05/19/2023,16.81
05/18/2023,16.05
05/17/2023,16.87
05/16/2023,17.99
05/15/2023,17.12
05/12/2023,17.03
05/11/2023,16.93
05/10/2023,16.94
05/09/2023,17.71
05/08/2023,16.98
05/05/2023,17.19
05/04/2023,20.09
05/03/2023,18.34
05/02/2023,17.78
05/01/2023,16.08
04/28/2023,15.78
04/27/2023,17.03
04/26/2023,18.84
04/25/2023,18.76
04/24/2023,16.89
04/21/2023,16.77
04/20/2023,17.17
04/19/2023,16.46
04/18/2023,16.83
04/17/2023,16.95
04/14/2023,17.07
04/13/2023,17.8
04/12/2023,19.09
04/11/2023,19.1
04/10/2023,18.97
04/06/2023,18.4
04/05/2023,19.08
04/04/2023,19.0
04/03/2023,18.55
03/31/2023,18.7
03/30/2023,19.02
03/29/2023,19.12
03/28/2023,19.97
03/27/2023,20.6
03/24/2023,21.74
03/23/2023,22.61
03/22/2023,22.26
03/21/2023,21.38
03/20/2023,24.15
03/17/2023,25.51
03/16/2023,22.99
03/15/2023,26.14
03/14/2023,23.73
03/13/2023,26.52
03/10/2023,24.8
03/09/2023,22.61
03/08/2023,19.11
03/07/2023,19.59
03/06/2023,18.61
03/03/2023,18.49
03/02/2023,19.59
03/01/2023,20.58
02/28/2023,20.7
02/27/2023,20.95
02/24/2023,21.67
02/23/2023,21.14
02/22/2023,22.29
02/21/2023,22.87
02/17/2023,20.02
02/16/2023,20.17
02/15/2023,18.23
02/14/2023,18.91
02/13/2023,20.34
02/10/2023,20.53
02/09/2023,20.71
02/08/2023,19.63
02/07/2023,18.66
02/06/2023,19.43
02/03/2023,18.33
02/02/2023,18.73
02/01/2023,17.87
01/31/2023,19.4
01/30/2023,19.94
01/27/2023,18.51
01/26/2023,18.73
01/25/2023,19.08
01/24/2023,19.2
01/23/2023,19.81
01/20/2023,19.85
01/19/2023,20.52
01/18/2023,20.34
01/17/2023,19.36
01/16/2023,18.35
01/13/2023,18.35
